Entity,Code,Year,Renewables (TWh growth - equivalent)
Africa,,1966,4.7441063
Africa,,1967,2.012619
Africa,,1968,8.124931
Africa,,1969,9.35162
Africa,,1970,16.350792
Africa,,1971,-4.258049
Africa,,1972,10.706924
Africa,,1973,5.079834
Africa,,1974,12.794197
Africa,,1975,6.054901
Africa,,1976,12.105011
Africa,,1977,12.228485
Africa,,1978,1.1374054
Africa,,1979,9.6539
Africa,,1980,-3.687271
Africa,,1981,5.5975647
Africa,,1982,0.09687805
Africa,,1983,-14.68309
Africa,,1984,-2.2262268
Africa,,1985,14.777542
Africa,,1986,6.1285553
Africa,,1987,-6.176895
Africa,,1988,13.326492
Africa,,1989,7.9041443
Africa,,1990,3.4635925
Africa,,1991,10.105728
Africa,,1992,-8.148087
Africa,,1993,-3.1720886
Africa,,1994,2.3874664
Africa,,1995,6.9683228
Africa,,1996,8.298676
Africa,,1997,4.9622345
Africa,,1998,9.310379
Africa,,1999,11.903168
Africa,,2000,15.831619
Africa,,2001,15.942398
Africa,,2002,10.552994
Africa,,2003,-7.5324097
Africa,,2004,13.57135
Africa,,2005,3.1514587
Africa,,2006,10.14447
Africa,,2007,5.7526855
Africa,,2008,4.53183
Africa,,2009,7.1636963
Africa,,2010,23.656433
Africa,,2011,8.183624
Africa,,2012,1.3513489
Africa,,2013,19.072357
Africa,,2014,25.007935
Africa,,2015,6.4592896
Africa,,2016,1.7945251
Africa,,2017,32.401154
Africa,,2018,33.00113
Africa,,2019,30.975006
Africa,,2020,29.534485
Africa,,2021,25.850403
Africa (BP),,1966,4.7440987
Africa (BP),,1967,2.0126266
Africa (BP),,1968,8.1249275
Africa (BP),,1969,9.351624
Africa (BP),,1970,16.350792
Africa (BP),,1971,-4.258049
Africa (BP),,1972,10.706924
Africa (BP),,1973,5.0798416
Africa (BP),,1974,12.794189
Africa (BP),,1975,6.054901
Africa (BP),,1976,12.105011
Africa (BP),,1977,12.228485
Africa (BP),,1978,1.1374054
Africa (BP),,1979,9.6539
Africa (BP),,1980,-3.687271
Africa (BP),,1981,5.5975647
Africa (BP),,1982,0.09687805
Africa (BP),,1983,-14.68309
Africa (BP),,1984,-2.2262268
Africa (BP),,1985,14.777542
Africa (BP),,1986,6.1285553
Africa (BP),,1987,-6.176895
Africa (BP),,1988,13.326477
Africa (BP),,1989,7.9041595
Africa (BP),,1990,3.4635925
Africa (BP),,1991,10.105743
Africa (BP),,1992,-8.148102
Africa (BP),,1993,-3.1720886
Africa (BP),,1994,2.3874664
Africa (BP),,1995,6.968338
Africa (BP),,1996,8.29866
Africa (BP),,1997,4.9622498
Africa (BP),,1998,9.310364
Africa (BP),,1999,11.903168
Africa (BP),,2000,15.831619
Africa (BP),,2001,15.942383
Africa (BP),,2002,11.043884
Africa (BP),,2003,-7.4819183
Africa (BP),,2004,13.666733
Africa (BP),,2005,2.7575989
Africa (BP),,2006,9.973877
Africa (BP),,2007,6.471588
Africa (BP),,2008,4.3507385
Africa (BP),,2009,6.89386
Africa (BP),,2010,23.526947
Africa (BP),,2011,8.477539
Africa (BP),,2012,1.4533997
Africa (BP),,2013,19.0542
Africa (BP),,2014,24.987823
Africa (BP),,2015,6.605255
Africa (BP),,2016,1.7189026
Africa (BP),,2017,32.39096
Africa (BP),,2018,33.35074
Africa (BP),,2019,30.840515
Africa (BP),,2020,29.728271
Africa (BP),,2021,25.87384
Algeria,DZA,1966,-0.13306463
Algeria,DZA,1967,0.16263437
Algeria,DZA,1968,0.45241952
Algeria,DZA,1969,-0.597312
Algeria,DZA,1970,0.64758086
Algeria,DZA,1971,-0.73924756
Algeria,DZA,1972,0.48790336
Algeria,DZA,1973,0.759946
Algeria,DZA,1974,-0.75403214
Algeria,DZA,1975,-0.49973106
Algeria,DZA,1976,0.18037629
Algeria,DZA,1977,-0.3548388
Algeria,DZA,1978,-0.056182742
Algeria,DZA,1979,0.12123662
Algeria,DZA,1980,-0.10053784
Algeria,DZA,1981,0.32231206
Algeria,DZA,1982,0.3341397
Algeria,DZA,1983,-0.72150534
Algeria,DZA,1984,0.6416666
Algeria,DZA,1985,0.57365596
Algeria,DZA,1986,-1.1709678
Algeria,DZA,1987,0.7362903
